id_estacion,hour,weekNumber,dayOfWeek,lat,long,num_bikes_available
2.0,0,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,0,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,0,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,0,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,0,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,0,38,5,-34.59242329999999,-58.37471510000001,0.0
2.0,0,38,6,-34.59242329999999,-58.37471510000001,2.0
2.0,1,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,1,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,1,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,1,38,3,-34.59242329999999,-58.37471510000001,1.0
2.0,1,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,1,38,5,-34.59242329999999,-58.37471510000001,1.0
2.0,1,38,6,-34.59242329999999,-58.37471510000001,2.0
2.0,2,38,0,-34.59242329999999,-58.37471510000001,0.0

